hometype,price,beds,baths,neighborhood,sqft,age
Condo/Co-op,1250000,1,1,South Beach,1046,27
Condo/Co-op,1300000,1,1,South Beach,808,9
Condo/Co-op,1155000,1,1,Van Ness/Civic Center,806,1
Condo/Co-op,1166666,1,1,South Beach,809,10
Condo/Co-op,1200000,1,1,South Beach,851,2
Condo/Co-op,1100000,1,1,South Beach,873,2
Condo/Co-op,1138000,1,1,North Panhandle,861,15
Condo/Co-op,1000000,1,1,South of Market,1033,15
Condo/Co-op,1000000,1,1,Mission Bay,888,14
Condo/Co-op,1175000,1,1,Mission Bay,1051,6
Condo/Co-op,1075000,1,1,South Beach,840,4
Condo/Co-op,1200000,1,2,Central Waterfront,1060,16
Single Family Residential,1255000,1,1,Noe Valley,1010,108
Condo/Co-op,1240000,1,2,South of Market,1598,21
Condo/Co-op,1670000,1,2,Inner Mission,1763,18
Condo/Co-op,1250000,1,2,South of Market,1475,14
Single Family Residential,1055000,1,1,Glen Park,500,112
Condo/Co-op,1200000,1,1,Pacific Heights,1008,90
Condo/Co-op,1335000,1,1,South Beach,883,3
Condo/Co-op,1380000,1,2,South Beach,1033,3
Condo/Co-op,1069000,1,1,South Beach,920,3
Condo/Co-op,1100000,1,1,South Beach,920,3
Condo/Co-op,1050000,1,1,South Beach,806,10
Condo/Co-op,1198000,1,1,South Beach,854,2
Condo/Co-op,1115000,1,1,South Beach,807,9
Condo/Co-op,1245000,1,1,South Beach,880,1
Condo/Co-op,1000000,1,1,Yerba Buena,946,28
Condo/Co-op,1200000,1,1,North Waterfront,1243,35
Condo/Co-op,1100000,1,1,North Waterfront,971,35
Condo/Co-op,1005000,1,1,Yerba Buena,790,104
Single Family Residential,1550000,1,1.25,Corona Heights,1041,60
Condo/Co-op,1135000,1,1,Corona Heights,961,95
Condo/Co-op,1045000,1,1.5,Downtown,1334,12
Condo/Co-op,1075000,1,2,Outer Richmond,1515,27
Multi-Family (2-4 Unit),2470000,1,,Parnassus/Ashbury Heights,3204,93
Condo/Co-op,1000000,1,1,Mission Bay,961,10
Condo/Co-op,1095000,1,1,South Beach,1185,23
Condo/Co-op,1008000,1,1,Jordan Park/Laurel Heights,918,69
Condo/Co-op,1115000,1,1,Russian Hill,1211,105
Single Family Residential,1826319,1,1,Potrero Hill,990,27
Condo/Co-op,1050000,1,1.5,South Beach,1005,3
Condo/Co-op,1075000,1,1.5,South Beach,851,3
Condo/Co-op,1550000,1,2,South Beach,1788,111
Condo/Co-op,1050000,1,1,Alamo Square,1346,114
Multi-Family (2-4 Unit),1047000,1,3,Central Sunset,2027,94
Condo/Co-op,1095000,1,1,South Beach,1096,81
Condo/Co-op,1250000,1,1,South Beach,850,0
Single Family Residential,1350000,1,1,Noe Valley,1075,93
Condo/Co-op,1349000,1,2,South Beach,1501,101
Condo/Co-op,715000,2,1,Inner Mission,824,118
Single Family Residential,913000,2,2,Bernal Heights,1025,72
Single Family Residential,988000,2,1,Central Sunset,1162,79
Condo/Co-op,950000,2,2,Diamond Heights,1175,46
Condo/Co-op,530000,2,2,Noe Valley,1042,17
Townhouse,650000,2,1.5,Bernal Heights,866,15
Condo/Co-op,973550,2,2,Bernal Heights,980,14
Condo/Co-op,510283,2,2,Candlestick Point,1063,17
Single Family Residential,750000,2,1,Bayview,1080,106
Single Family Residential,950000,2,1,Bayview,1375,79
Single Family Residential,905000,2,1,Bayview,1125,93
Condo/Co-op,999900,2,2,Twin Peaks,1690,15
Condo/Co-op,930000,2,1,Alamo Square,1305,128
Condo/Co-op,456896,2,1,Mission Dolores,816,13
Condo/Co-op,798000,2,2,Bayview,1086,8
Condo/Co-op,820000,2,2,Ingleside Heights,1047,16
Condo/Co-op,1000000,2,1,Nob Hill,929,108
Condo/Co-op,907000,2,1,Russian Hill,779,38
Single Family Residential,951000,2,1.5,Crocker Amazon,1013,68
Condo/Co-op,780000,2,1,Mount Davidson Manor,976,31
Condo/Co-op,870000,2,2,Candlestick Point,984,17
Single Family Residential,799900,2,1,Bayview,1200,71
Condo/Co-op,800000,2,2,Candlestick Point,1106,11
Townhouse,930000,2,2,South of Market,913,17
Condo/Co-op,880000,2,2,Downtown,994,100
Condo/Co-op,925000,2,2,Downtown,966,100
Condo/Co-op,900000,2,2,Outer Richmond,1258,39
Condo/Co-op,860000,2,2,Candlestick Point,1063,17
Single Family Residential,875000,2,2,Bayview,1750,76
Condo/Co-op,838500,2,2,Hunters Point,1185,1
Condo/Co-op,950000,2,2,,1340,0
Condo/Co-op,390003,2,1,Diamond Heights,890,43
Condo/Co-op,925000,2,1,Inner Mission,850,111
Condo/Co-op,824000,2,1,Diamond Heights,990,46
Condo/Co-op,900000,2,2,Candlestick Point,1337,17
Townhouse,825000,2,2,Bayview,1219,26
Condo/Co-op,815000,2,2,Candlestick Point,875,12
Single Family Residential,600000,2,1,Bayview,835,111
Condo/Co-op,895000,2,2,Hunters Point,1185,1
Condo/Co-op,950000,2,2,Hunters Point,1080,1
Condo/Co-op,799000,2,2,Hunters Point,1156,2
Townhouse,369020,2,1,Bayview,1127,9
Condo/Co-op,960000,2,2,South of Market,807,106
Condo/Co-op,500000,2,2,Lower Pacific Height,1094,26
Condo/Co-op,830000,2,2,Van Ness/Civic Center,881,36
Condo/Co-op,635000,2,1,Inner Mission,842,39
Single Family Residential,780000,2,1,Bayview,875,105
Condo/Co-op,998000,2,2,Downtown,1500,88
Condo/Co-op,925000,2,1,Inner Richmond,881,22
Condo/Co-op,875000,2,1,Inner Mission,850,111
Condo/Co-op,850000,2,1,South of Market,855,20
Condo/Co-op,825000,2,1,Inner Mission,800,108
Condo/Co-op,905000,2,1,Inner Mission,691,6
Condo/Co-op,1000000,2,1,Mission Dolores,709,102
Townhouse,912485,2,2,Van Ness/Civic Center,1099,36
Condo/Co-op,925000,2,2,South of Market,1136,16
Condo/Co-op,901000,2,1,Inner Mission,818,33
Condo/Co-op,884550,2,1,Bernal Heights,815,118
Condo/Co-op,950000,2,1,Bernal Heights,825,110
Condo/Co-op,925000,2,2,Outer Sunset,804,14
Condo/Co-op,829000,2,2,Central Sunset,1032,27
Condo/Co-op,840000,2,2,South of Market,1051,112
Condo/Co-op,818000,2,1,Lake,700,106
Condo/Co-op,975000,2,1,Lake,940,94
Condo/Co-op,925000,2,1,Inner Richmond,922,53
Condo/Co-op,855000,2,1.5,Financial District,744,48
Condo/Co-op,880000,2,2,Outer Richmond,1084,35
Condo/Co-op,865000,2,2,Outer Richmond,1084,35
Condo/Co-op,985000,2,1,Outer Sunset,1155,71
Condo/Co-op,820000,2,1,Inner Richmond,838,94
Condo/Co-op,888000,2,1,Potrero Hill,935,46
Single Family Residential,900000,2,1,Bayview,1198,94
Single Family Residential,935000,2,1,Bayview,1460,92
Single Family Residential,875000,2,1,Bayview,1340,91
Condo/Co-op,590000,2,1,Western Addition,840,55
Single Family Residential,990000,2,1,Ingleside Heights,1353,80
Condo/Co-op,900000,2,1.5,Financial District,775,48
Condo/Co-op,326813,2,1,Diamond Heights,890,43
Condo/Co-op,538000,2,1,Western Addition,840,54
Condo/Co-op,510000,2,1.5,Lower Pacific Height,1067,26
Condo/Co-op,1300000,2,2,North Panhandle,949,11
Condo/Co-op,1375000,2,1,Inner Sunset,1150,72
Condo/Co-op,1310000,2,2,Potrero Hill,916,3
Condo/Co-op,1360000,2,2,Yerba Buena,1230,9
Single Family Residential,1425000,2,2,Bernal Heights,1192,71
Condo/Co-op,1275000,2,1,Inner Mission,1121,102
Condo/Co-op,1485000,2,2,Inner Mission,1025,99
Single Family Residential,1330000,2,1,Bernal Heights,890,110
Condo/Co-op,1300000,2,2,Noe Valley,1290,118
Condo/Co-op,1431000,2,1,Noe Valley,1071,143
Condo/Co-op,1400000,2,1,Marina,1077,94
Single Family Residential,1360000,2,1.5,Central Sunset,1688,78
