personid,expgroup,performance,performance_pre,age,tenure,grosswage,children,commute,married
33278,0,-.14007795,-.31524241,20,22,2.275409,0,180,0
33350,1,-.77840728,-.9045217,26,22,2.8910179,0,120,0
33352,2,-1.7872596,-1.4336709,20,22,1.8107578,0,120,0
33354,0,.087568447,.37143752,21,22,2.702929,0,135,0
33366,0,-.56864893,.404652,25,22,3.2333767,0,40,0
33406,2,-1.0453409,-.092345588,28,22,2.5894167,0,60,0
33410,2,-.99768186,-.14113751,25,22,2.6481922,1,14,1
33874,2,-.42283911,-.11658895,22,22,2.8625379,0,24,0
34396,2,-1.1450118,-1.4470109,24,21,3.7040522,0,40,0
34526,2,-1.0275688,-.42651108,27,21,2.3073802,1,180,1
34890,0,-.620704,-.58820438,24,21,2.2445667,0,200,0
34956,2,-1.3327494,-.56146455,23,21,2.1504068,0,16,0
35006,0,-.38183868,-.075300135,23,21,2.41485,0,10,1
35344,1,.80776411,.43649644,22,20,2.8727365,0,60,0
35408,0,.018137773,.4941864,27,20,3.5163388,1,180,1
35760,2,-1.220034,-.81275809,24,20,3.7003267,0,2.5999999,1
35822,0,-.83485264,-.71843868,27,20,3.5905633,0,120,0
36032,1,.13813949,-.05893892,22,19,2.3757291,0,120,0
36060,2,-.41646811,-.78179502,24,19,2.2917278,0,35,0
36288,0,-.13733521,.41313937,25,19,2.84852,0,30,0
36306,1,-.073541924,-.6215266,26,19,3.2344944,0,80,0
36314,0,.62616146,.51428294,23,19,2.7280767,0,75,0
36318,2,1.0159365,1.2799393,26,19,3.2498155,0,120,0
36494,1,-.72132891,-.71516055,23,18,2.1946733,0,40,0
36908,1,.3903172,.36568537,23,15,2.7428231,0,60,0
37276,0,-1.0240356,.003661253,22,13,3.0966489,0,90,0
37292,0,-.17421824,.014250415,21,13,2.5126977,0,180,0
37294,1,.47120082,-.03769717,20,13,2.2425222,0,80,0
37296,1,-.58302444,-.1201145,29,13,2.5851912,0,80,0
37784,1,.099304408,.37780115,19,12,2.465909,0,105,0
37798,0,-.5801844,-.047367483,21,12,4.0997667,0,20,0
37804,1,-1.1362374,-.023898713,21,12,2.4997599,0,120,0
37812,0,-.039085891,.40975997,26,12,2.5612578,0,180,0
37824,2,-.073081911,.34887341,19,12,2.687099,0,20,0
37828,0,-.46969032,-.37779152,23,12,3.4578824,0,60,0
37840,1,-.33444458,-.20379853,18,12,1.98746,0,30,0
